id,reviewer_address,reviewee_address,rating,message,is_visible,is_approved
41,0x8132ed3b0a47b7e878a4eb48c40be11c029575d7,0x7864f82d0cc13910262b15ee0bf243fe0cfc0174,5,Fast and secure platform. Completed multiple trades without any issues. Great experience!,t,t
42,0xf315abb509b0c264b2d3baf4993302e46c560db4,0x5765d6d6e4b07465127cfd59413dd9d7051a1ffe,4,Easy to use interface. Escrow system is reliable. Would recommend to friends.,t,t
43,0x0a8f17beb732e8181d754544b5ef7ebc4396bf97,0x2448a69cc6d9aac05835e6f099cffdc700e6faf9,5,Easy to use — I bought USDT without trouble. Escrow felt secure. Will use again.,t,t
44,0xd03f18a66d75de58285fd9c9dfa4dbf5e09b9cc8,0x0c9d242004acfaa7af8334f1fe4e08abd06d2c2d,5,Straightforward process for a non-tech person. Support was patient and helpful.,t,t
45,0x487c39318eea300d667dc6f2519b718a1f33a6d3,0x70ef1fa0e6871a889d67085e4a915bc3c47affa5,5,I felt safe using Zotrust for cash to USDT. Transaction completed smoothly.,t,t
46,0xd49cf30f6c2f0f0b2b0dd54100c66c23649b2262,0x71d341e34c670a9e159974d5a6ba4d9c86be71c2,4,Simple and secure. Good for first-time crypto users. Support team is responsive.,t,t
47,0x1d41084f63e87c68b839327ada64679cfb13cd83,0x6d760cf7e32d45307d23de43b0353c46fce24a19,5,Trustworthy platform. Completed my transaction without any hassles. Highly recommended.,t,t
48,0xab6e1782664225acc3866cc7c8b1cb03c0365525,0x95f24c363a41232d1b32e45be9e7f4a4ff3a2841,5,Zotrust thi USDT kharidi karvi asaan hati. Escrow secure lage che ane fees ochhi hati. Recommend karu chu.,t,t
49,0xc886029a05fa1ab1921d7fe812195192fc761528,0x5b87a5bb0f885a05bc2bc59db200976413cacf0a,5,Wallet connect saral che ane trade jaldi complete thayu. Support pan madadgar che.,t,t
50,0x1c2f0c51c4a31185f4a4d1ff2e283ae1b58817d8,0xb9a1890d07cb01c801637a2f6765785822b6d8bf,4,"Platform aavjo che, fees reasonable che. Ek vaar try karo, definitely recommend karu chu.",t,t
51,0xdc52beea81c22a0c0e8b439576db289ee12c460e,0x40b1ef354886b22551a99da9120da4013a0c5cb9,5,"Bilkul safe ane secure platform. Multiple trades kari chhe, badhiya experience.",t,t
52,0xf847dba02fc50cf2b8d6d8c3df76d263e72770e8,0xd55b5690e3bf633aec45990054efe55e1b983827,5,Platform samajva ma saral padi. Payment process safe hatu ane admin response pan sari hati.,t,t
53,0xc77251ffb3864439b3d409538c00c7c05516b354,0x699feae9ff01a5092a63417547ab648a376d1b25,5,"Pehli vaar P2P karto hoyu pan sab kuch theek rahi. Thanks, Zotrust.",t,t
54,0x18ad72aeb6d7907af8444460457c9099a7851f4a,0x9c11699b6d62c285d1085d581ae6934da7e6f491,4,Bharosemand platform che. Thoda UI improve thai sake pan overall acha che.,t,t
57,0xd95e19141ef53dc8c25117d025222b52dd8d1d4b,0xc37b70aee1b74dd20592c3fe72f6e0df616a709f,4,"Easy flow, fast payments, safe lagta hai. 4/5.",t,t
58,0xe8e795dae9e962dc7b21785597bc49335a27144a,0x518e33b5555a78a6092d05c12455d135413038a5,5,Bahut acha platform hai. Quick transactions aur secure escrow. Recommend karta hoon.,t,t
59,0xd8349f9d41e8c591bb8346a31bf58cee89803805,0x0547ef01bf148aa689d761d71f216bbea1a22b1e,4,"Good experience, thoda improvements chahiye in UI but overall solid platform.",t,t
60,0xf5336cc35dd315946ba5252e867d3a898fcaaf06,0x2e8d6a097c55ddaf76df84b435b252cde4453773,4,"Fast P2P trades, secure escrow, low fees. 4/5.",t,t
61,0x4e87ad554ea55f168b89d96ade012066914b6ebc,0xb2a05bdfdb3813e1eb5d466f55fc9ce9468268e0,5,Smooth wallet connect and quick payouts. Recommended.,t,t
62,0xad9a9708572fd0609ea5172d7b5949096454336b,0xa6c190b3b054acfa573c20c59942e9c69a1a8a90,5,Excellent service. Fast and reliable. Will use again.,t,t
63,0x75cb782068f04a97e1687cb9ec77888e5b4f2a34,0x9241226b8c2c1cf02a7d91df620dedd89030e195,4,Good platform for P2P trading. Secure and user-friendly.,t,t
64,0x29276bd5f0ab3d708ca05662493602dfaada414c,0xa4321a7bc0cf236def98f9160b6ccdda7d1cc133,4,ઝપટદાર trades ane secure escrow — 4/5.,t,t
65,0x6c541c9007cc20c9279970008e2ec8a297db73e3,0x8caf66a8b680f6cdb9859862c29ab034b75f708f,5,Aasaan ane bharosemand — recommend.,t,t
66,0x1622f79074a9ca9e3fc366a96e723a89de2ab667,0xdeb91f2b17438abdf44ad6ce7dae1bb9696ed143,5,"Badhiya platform che, jaldi trade complete thai jay che.",t,t
67,0xd731e771bd21dea340099c7b6482057c197e10d0,0x44c57d631d8efe8e91e571345c8e071813f106fe,4,"Quick trade, secure escrow — 4/5.",t,t
68,0x7b20746caa2b58cb555b574e80d771cdf4e66c00,0x063d1884052b6b563d5c732a496b7bc6bb33f263,4,"Good experience, thoda improvements chahiye in UI.",t,t
69,0xe55d583ef545eb7a9f336980f524385f4c81406e,0x5896c3b89b65c515b3b02f76c50a0410081fd299,5,"Best P2P platform hai. Fast, secure, aur reliable.",t,t
70,0x8323e68352c9b454d6988838311c652858f01c14,0x627f135e0cff14da1bd35ce9213c4c9614b5a7d3,4,Acha platform hai. Fees reasonable hai aur support bhi good hai.,t,t
71,0x49a2cd7a7dcc90f5359e82211410bee44c81d5d0,0x828ab28a8bf03955c1d3642405b6ef67b2ba2dc2,5,Perfect platform for crypto trading. Highly satisfied.,t,t
72,0xaf8a66e243a161183938cf5d2bafb3a4767a725b,0x3eb8634aba68e3cc6cbd31aba74244ed4a4a96db,4,Smooth experience. Easy to use and secure.,t,t
75,0x30f6fc6fb8cc89adea6e8ddd042a33f4f33fa264,0xe8d3c832027a0db990f27f9d794480f9ae7cada0,5,"Quick trades, clear terms, and reasonable fees. Recommended for regular P2P traders.",t,t
76,0x1aebf431bf0e3ca55dbf44db693c71c39efc7cd4,0xd4cf0bc934b9ba3dad13455eaf32ecc3736d295f,5,Fast and secure platform. Completed multiple trades without any issues. Great experience!,t,t
77,0x539038877397ea25f9f6dc99ba21c34fe2d1ceb8,0x57431c7f7e2c054dd85e8f4dfa13b9b28f3ce584,4,Easy to use interface. Escrow system is reliable. Would recommend to friends.,t,t
78,0xdf23aab472ca3e343753b783555c5668f017c422,0x6fcc97293d2aa5038574e3f1b125236eb9222311,5,Easy to use — I bought USDT without trouble. Escrow felt secure. Will use again.,t,t
79,0x1672e8b2addad627472fb40ff37cbf5b29985474,0x32e977b0c5068df32c418accd355970b364297be,5,Straightforward process for a non-tech person. Support was patient and helpful.,t,t
80,0x752c7e7e4e569413f81c665c24e09246ce401104,0x5884f2fbcb39080732812e84c53be327275536ec,5,I felt safe using Zotrust for cash to USDT. Transaction completed smoothly.,t,t
81,0x76563fba62f6da4a3c0c974086ee5b24822d898e,0x04871b8ea63d0d1c7bcbcf51caf0cfeba95d0227,4,Simple and secure. Good for first-time crypto users. Support team is responsive.,t,t
82,0xf1d9dc3e5e00518fa310441453b4d2fa949ecd72,0x2ab30617cd2001b09c4efe18344cd2a87de86e70,5,Trustworthy platform. Completed my transaction without any hassles. Highly recommended.,t,t
83,0x15036c46541aaa089a6055c34f63aa0fe291b9ce,0xae02c5b4768e3974afcfb2f2b9880ffc7c652e97,5,Zotrust thi USDT kharidi karvi asaan hati. Escrow secure lage che ane fees ochhi hati. Recommend karu chu.,t,t
84,0x20ada287a9efc0461d31a42c4cbdfa227dd76b98,0xab3f4a0322c0c8e77d73218a07abf966cdc476f1,5,Wallet connect saral che ane trade jaldi complete thayu. Support pan madadgar che.,t,t
85,0xb3cde315f36fab5370e098900c59f7bda59d3a65,0x247965bfd806cfb310dee8e277779cf528fe6798,4,"Platform aavjo che, fees reasonable che. Ek vaar try karo, definitely recommend karu chu.",t,t
86,0x912221365eb4afe756ce7336aba20f95b9468bc7,0x508646a842d1dc8ee6e2df9f00fa06f1a76512fb,5,"Bilkul safe ane secure platform. Multiple trades kari chhe, badhiya experience.",t,t
87,0x0cac227b8e928a4b38cbf12f23d9f996f3095a23,0x5e88555b62d7f2cb5ca3ffe79a5c8baef63a7a68,5,Platform samajva ma saral padi. Payment process safe hatu ane admin response pan sari hati.,t,t
88,0x1278a4590ef4d357b447335324274b1b8865fc62,0x5481c5e484969deb99a0fb2f093b5d589c6953fa,5,"Pehli vaar P2P karto hoyu pan sab kuch theek rahi. Thanks, Zotrust.",t,t
89,0xb8e9541cbacf89012e99bed72d562b7c292ef9d3,0x8c41e5327afc0cc599fffd6fa446f3fcf2b21244,4,Bharosemand platform che. Thoda UI improve thai sake pan overall acha che.,t,t
92,0x80375797d34a71a1a5b295aadac59d27352f4e4e,0xb419cce30cd1437d86f287aadf84dc538ca15768,4,"Easy flow, fast payments, safe lagta hai. 4/5.",t,t
93,0x8b4e5072378b97ba4942cde1021f97e3f3ce9a37,0xac84c5f058c8be0b57737915dfa83b2b5e998c15,5,Bahut acha platform hai. Quick transactions aur secure escrow. Recommend karta hoon.,t,t
94,0x40403baf92bb5d54878671b8704bbe2a24664721,0x65561e922d306e26fb601e5f8d7a5c2234bce30d,4,"Good experience, thoda improvements chahiye in UI but overall solid platform.",t,t
95,0x2ab58695041bb577f742cdfdff1de99165d9dceb,0xf1c1820e8ff95a83b683a5653f411902588af83a,4,"Fast P2P trades, secure escrow, low fees. 4/5.",t,t
96,0xcffdada933418cd83220142763e87ef46c7b7597,0xd3359cdda39e3f88910add2d72ef38a8a2ec313d,5,Smooth wallet connect and quick payouts. Recommended.,t,t
97,0x5f75d4bc2b1a6273d8629348c2a984c37cbf6fc5,0xbe232753dd829bf3910aece8db91b92c35b559ec,5,Excellent service. Fast and reliable. Will use again.,t,t
98,0x3a7df00c55060ba5b9ac61158fbe61148788fe26,0xab1545edc20b6fc9ca5326c7eef02c23fffcdafa,4,Good platform for P2P trading. Secure and user-friendly.,t,t
99,0x460b860a72d3feaa21c82bf7ed635d7717e183bb,0x29286b1211f715f2a29485c12666cc64762ec890,4,ઝપટદાર trades ane secure escrow — 4/5.,t,t
100,0x47f2001d27fdc28586292c478cbd9c4ec16a3483,0x21a6fa215c307f1ee523c8122c2d656585ce8254,5,Aasaan ane bharosemand — recommend.,t,t
101,0x87460371b1a1e8aa9a2a86c580910b2bb94c321d,0x48cb40861452ad5648c2386ec5cdbb57c4885911,5,"Badhiya platform che, jaldi trade complete thai jay che.",t,t
102,0xd6c8784432a5936b70f2e77a2ec6dd6887bcd419,0x5befdee8ee2216d42aa89f2e139905605fe0154f,4,"Quick trade, secure escrow — 4/5.",t,t
103,0x7e808348d1d3a2837e5db1ea5378fa5df00af705,0x470388edc301b6d793812b30f3ac2ee0b28968d0,4,"Good experience, thoda improvements chahiye in UI.",t,t
104,0x61c36bb0c4748299ba31ca48111c9e41134f2895,0xaf819acfdc373f232aaa03516d7a6f2c5ae92b5b,5,"Best P2P platform hai. Fast, secure, aur reliable.",t,t
105,0x96520fe19c23cba8bccf6f788e6a3d4900580f14,0xd4f4855433ea093e56c91ed982e4f006b304bc64,4,Acha platform hai. Fees reasonable hai aur support bhi good hai.,t,t
106,0xfb237e9081c9c4e7fd7e19dc8e8be9c67c3cc51d,0x60841119493589cb40a7f1a39f17fcb25708992d,5,Perfect platform for crypto trading. Highly satisfied.,t,t
107,0x499aff1e05127cb91310d36f8914a5ed93a9ddff,0x4296160b45b1b0c2ffc4760ae627e7299a04aa54,4,Smooth experience. Easy to use and secure.,t,t
113,0xe70127d8ff3f6ba2a415ca110da5e9d706ccc768,0x3d4e943a3c96106d56ceb8c2be6724d4efa1b9b9,5,Done transactions worth 2.5 lakh. Platform is secure and user-friendly. Support team is very helpful.,t,t
114,0xa52d82a8df4d99ceee7f631d8eeb0460870d8f3c,0x4f40624c39c51eb3a6ec12a72c9e0d3b1ee14c7c,5,"Completed 30+ trades, total value 1.8 lakh. All transactions were smooth and secure. Highly satisfied!",t,t
115,0x2347ec1694916f268de03d5564fb19f62db97345,0x33d0d3e090da53a7f1f95dcca045adead8dfdcea,4,Traded around 1 lakh worth. Good experience overall. Platform is reliable and fees are competitive.,t,t
116,0xcfa262c225c840dbc33a2d48497f4d1bfd725b8d,0xf2a0020126d83f0ed0eb428af4a3634a5ccab9d3,5,"I have done 3 lakh worth of transactions. Zotrust is my go-to platform for P2P trading. Fast, secure, and trustworthy.",t,t
117,0x483976e0ce58bb47fe7b88304634c41e95d991b7,0xfeebbe9400939114c844a0df67fcb8258d1007ce,5,Completed 60+ trades worth 3.5 lakh. Excellent platform with great escrow system. Recommended for serious traders.,t,t
118,0x9bb49b2658a9566fbc6d1cd789d0e1d54d31b869,0xb0543e012e4db152ca5132cade32ab6d3f93a152,4,"Done transactions worth 1.3 lakh. Platform works well, quick payouts. Would like to see some UI improvements.",t,t
119,0xf9ad155060890e2e5a699500cf4b6aaad8434795,0x8c83048c90d0c015623a8d1918639a15d43ab172,5,"I have completed 40+ trades, total value 2.2 lakh. All went smoothly. Best P2P platform I have used so far.",t,t
120,0x26a65eeece2aa4ae78cdb5d2dabb3ca594713bd0,0x39de774b20ce1fe6b6fc1f153f5b71eacbd26804,5,Traded 2.8 lakh worth on Zotrust. Platform is secure and transactions are fast. Support is responsive. 5/5!,t,t
121,0xccff7296fba799dc0a8421e2c687fe212d9a3619,0xf712ea9c75e6b2a5dcabe703f4aa2ab5a6f22dfd,5,Done 100+ transactions worth 5 lakh. Zotrust is reliable and fees are low. Perfect for high-volume traders.,t,t
122,0x44447ec2679ba1454ee2229a2bfbc73cae0361c0,0x686041db7e2b4799c9f360e2099e21b9b3709a70,4,Completed trades worth 1.6 lakh. Good platform with secure escrow. Minor improvements needed but overall satisfied.,t,t
123,0xad9622796868aa0e709f32fc2079b8c80c1a93a4,0xb89d05835878dec0b365980a7a8baacd8cae6b7d,5,"I have done 2.3 lakh worth of transactions. Platform is excellent, escrow works perfectly. Highly recommended!",t,t
124,0xdceb64899758db9cedcd363517b3e7f31d91a95f,0x388580f16c0f5d8730631863d51119a0d76efacf,5,"Traded 4 lakh worth, completed 80+ transactions. Zotrust is the best P2P platform. Fast, secure, and reliable.",t,t
125,0x9eea1be5b26029f2f495f7bb018fefe1b67093fe,0xf44f8b164089fcfbb71b426ff9591d104f938771,5,Done 25+ trades worth 1.4 lakh. All transactions completed smoothly. Great platform for P2P trading.,t,t
126,0xbcb05cb0fb7a70f6b5cd7ccbfeedc8ed9515c601,0x05806630bdfe01c2fe95e80c66e79703f1b51a37,4,"Completed transactions worth 1.1 lakh. Platform is good, fees are reasonable. Would recommend to others.",t,t
127,0x6f9da7edee90c430602a043487201ab5eac32885,0xde7fcda01ebe65394f6b430c9a1b2bedff52e426,5,I have done 3.2 lakh worth of transactions on Zotrust. Platform is trustworthy and escrow system is excellent.,t,t
128,0xe9b4fa83fd086a5f103ce2fdbf9e1b2c8c4ea85e,0xda041689180f45dba2a061fd9c2bd57591459367,5,"Traded 2.6 lakh, completed 55+ transactions. All went perfectly. Best experience with any P2P platform.",t,t
129,0x3588b897913034ec227e23723c855e7e34da9c70,0xab6cbd380eec0c62e372c8df8e2428ff420578c8,5,"Done 90+ trades worth 4.5 lakh. Zotrust is reliable, fast, and secure. Perfect for regular crypto traders.",t,t
130,0xc5f77e645cd056ff1ae80a72bc6f8a4559bde9f2,0xbba02e66aea000913f3c7f4ad967f2ed31d921cc,4,Completed 20+ transactions worth 1.7 lakh. Good platform with secure escrow. Minor UI updates would be nice.,t,t
131,0xbb5e460ae15a2a1a02346c3f4c89f8f076f93ede,0xf82bc8778f2cd132436ca884bd3ee48e9b34b504,5,"I have done 2.4 lakh worth of transactions. Platform works great, fees are low. Will continue using Zotrust.",t,t
132,0x448a688f87976d4eb9e03fa48633a16233b606d7,0x9dd10094a8bf48aca6228d6e1b9537c4067f3475,5,"Traded 3.8 lakh, done 70+ transactions. All successful. Zotrust is the most reliable P2P platform I know.",t,t
133,0xd383ede3db5efbe0ac6173e17e95d30b8fe50008,0x3cc466882783ca99569ce12162d6f97809625538,5,Completed 35+ trades worth 2.1 lakh. Excellent experience. Platform is secure and support is helpful.,t,t
134,0x40bbf61a8aff00228de821fa66288222be4f11d7,0xf02f6c50b4be273fc9ed7b22608ff185cb9b92eb,4,Done transactions worth 1.9 lakh. Good platform overall. Escrow is secure and transactions are quick.,t,t
135,0xd5410888c6383986fa588b5417da6e96fcac7fe2,0xe7604a0d0848202fb3e53d04da1a5a2e932e98b5,5,"I have done 2.7 lakh worth of transactions. Zotrust is amazing! Fast, secure, and user-friendly. 5 stars!",t,t
136,0xcd80c1b5b305906833d83159602856218ffc0802,0xc957b5d65b6738b15827f603e116d4987ab0bc3f,5,"Traded 4.2 lakh, completed 95+ transactions. Best P2P platform. Highly recommend for serious traders.",t,t
137,0x2b477d91e988fa58e55f65799bb4700bcbbe7383,0xcb49753c5eae056b2ed5b0b709df02fd8321577a,5,Done 45+ trades worth 2.9 lakh. All transactions completed successfully. Zotrust is trustworthy and reliable.,t,t
138,0xd836fe539c86d9900675e9c24e8c85ee36c335d4,0xd836fe539c86d9900675e9c24e8c85ee36c335d4,5,Zotrust is best cash to usdt p2p platform,t,f
